label,positive_count,negative_count,false_positives,false_negatives,false_positive_rate,false_negative_rate
SPHSUR,2627,9843,468,13,0.04754647973178909,0.0049486105824134
BOABIS,2306,10164,784,11,0.07713498622589532,0.004770164787510842
SCIPER,674,11796,529,166,0.044845710410308576,0.24629080118694363
DENNAH,36,12434,242,1,0.019462763390702912,0.027777777777777776
LEPLAT,1306,11164,535,134,0.047921891795055536,0.10260336906584992
RHIICT,38,12432,9,35,0.0007239382239382239,0.9210526315789473
BOALEP,163,12307,451,18,0.036645811326887136,0.11042944785276074
BOAFAB,1298,11172,57,226,0.00510204081632653,0.17411402157164868
PHYCUV,764,11706,614,204,0.05245173415342559,0.2670157068062827
DENMIN,1428,11042,458,81,0.041477993117188916,0.05672268907563025
ELABIC,280,12190,249,142,0.020426579163248564,0.5071428571428571
BOAPRA,84,12386,144,21,0.011626029388018731,0.25
DENCRU,159,12311,748,73,0.06075867110713996,0.4591194968553459
BOALUN,482,11988,728,77,0.06072739406072739,0.15975103734439833
BOAALB,697,11773,729,44,0.06192134545145672,0.06312769010043041
PHYMAR,80,12390,131,76,0.010573042776432607,0.95
PITAZU,1148,11322,859,61,0.07586998763469352,0.05313588850174216
PHYSAU,347,12123,770,7,0.06351563144436195,0.020172910662824207
LEPFUS,98,12372,221,30,0.01786291626252829,0.30612244897959184
DENNAN,947,11523,730,32,0.0633515577540571,0.0337909186906019
PHYALB,1240,11230,413,76,0.03677649154051647,0.06129032258064516
LEPLAB,116,12354,0,37,0.0,0.31896551724137934
SCIFUS,0,12470,0,0,0.0,
BOARAN,288,12182,169,51,0.013872927269742243,0.17708333333333334
SCIFUV,617,11853,596,19,0.05028262887032819,0.03079416531604538
AMEPIC,32,12438,0,32,0.0,1.0
LEPPOD,1328,11142,635,87,0.056991563453598994,0.06551204819277108
ADEDIP,100,12370,77,43,0.006224737267582861,0.43
ELAMAT,140,12330,292,53,0.02368207623682076,0.37857142857142856
PHYNAT,213,12257,30,203,0.002447580974137228,0.9530516431924883
LEPELE,30,12440,0,30,0.0,1.0
RHISCI,0,12470,0,0,0.0,
SCINAS,0,12470,0,0,0.0,
LEPNOT,275,12195,444,173,0.036408364083640836,0.6290909090909091
ADEMAR,147,12323,82,93,0.0066542238091373855,0.6326530612244898
BOAALM,259,12211,173,5,0.014167553844893948,0.019305019305019305
PHYDIS,234,12236,282,57,0.02304674730304021,0.24358974358974358
RHIORN,11,12459,0,11,0.0,1.0
LEPFLA,3,12467,0,3,0.0,1.0
SCIRIZ,20,12450,52,7,0.004176706827309237,0.35
DENELE,74,12396,29,61,0.00233946434333656,0.8243243243243243
SCIALT,58,12412,0,30,0.0,0.5172413793103449
