true_combination,count,exact_match,most_common_wrong_prediction,wrong_prediction_count
ninguna,4323,0.7295859356928059,BOAALB,95
SPHSUR+BOABIS+LEPLAT,556,0.64568345323741,SPHSUR+BOABIS+SCIPER+LEPLAT,86
SPHSUR+BOABIS,447,0.5794183445190156,SPHSUR+BOABIS+LEPLAT,82
BOABIS,385,0.7272727272727273,SPHSUR+BOABIS,32
BOAFAB,274,0.3284671532846715,ninguna,63
BOAALB,258,0.39147286821705424,DENCRU+BOALUN+BOAALB,66
BOALUN+BOAALB,208,0.04326923076923077,PHYCUV+BOALUN+BOAALB,95
SPHSUR,207,0.6666666666666666,SPHSUR+BOABIS+LEPLAT,20
PHYCUV,186,0.34408602150537637,DENCRU+BOALUN+BOAALB,44
PITAZU+LEPPOD,176,0.6363636363636364,BOABIS+PITAZU+LEPPOD,23
DENMIN+LEPPOD,169,0.44970414201183434,DENMIN+DENNAN+LEPPOD,67
SPHSUR+BOABIS+SCIPER+LEPLAT,151,0.17880794701986755,SPHSUR+BOABIS+SCIPER+DENNAH+LEPLAT,99
BOALUN,148,0.10810810810810811,PHYCUV+DENCRU+BOALUN+BOAALB+PHYMAR,28
PHYALB,148,0.22297297297297297,PHYALB+LEPPOD,45
PHYALB+LEPPOD,141,0.3404255319148936,PHYALB+LEPPOD+ADEDIP,18
SPHSUR+BOABIS+SCIPER,137,0.21897810218978103,SPHSUR+BOABIS+SCIPER+LEPLAT,39
LEPNOT,119,0.15126050420168066,ninguna,39
PHYCUV+BOAALB,113,0.1415929203539823,BOAALB,35
DENMIN+DENNAN+LEPPOD,106,0.6132075471698113,DENMIN+PITAZU+DENNAN+LEPPOD,10
SPHSUR+LEPLAT,103,0.06796116504854369,SPHSUR+BOABIS+LEPLAT,49
LEPNOT+ADEMAR,91,0.0,ninguna,42
PHYDIS,86,0.2558139534883721,LEPNOT+PHYDIS,17
DENMIN+DENNAN+PHYALB+LEPPOD,85,0.12941176470588237,DENMIN+PITAZU+DENNAN+PHYALB+LEPPOD,37
SPHSUR+LEPLAT+BOAFAB,82,0.15853658536585366,SPHSUR+BOABIS+LEPLAT+BOAFAB,37
BOAFAB+BOAALM,81,0.04938271604938271,BOAFAB+BOAPRA+BOAALM,30
DENNAN+PHYALB+LEPPOD,80,0.1375,DENMIN+PITAZU+DENNAN+PHYALB+LEPPOD,29
LEPPOD,78,0.41025641025641024,DENMIN+LEPPOD,19
PHYMAR,76,0.0,DENCRU+BOALUN+BOAALB,27
SPHSUR+BOABIS+LEPLAT+BOAFAB,76,0.75,SPHSUR+BOABIS+SCIPER+LEPLAT+BOAFAB,12
SPHSUR+BOAFAB,71,0.2535211267605634,SPHSUR+BOAFAB+ELABIC,27
DENMIN,63,0.20634920634920634,DENMIN+LEPPOD,19
DENMIN+DENNAN+BOARAN,59,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+BOARAN+SCIFUV+ELAMAT,29
DENMIN+PITAZU+DENNAN+BOARAN,58,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+BOARAN+SCIFUV,33
BOAFAB+LEPNOT,58,0.017241379310344827,ninguna,21
ADEMAR,56,0.44642857142857145,ninguna,30
DENMIN+PHYSAU+DENNAN+BOARAN,53,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+BOARAN+SCIFUV+ELAMAT,39
DENMIN+PHYALB+SCIFUV+LEPPOD,53,0.0,DENMIN+DENNAN+PHYALB+SCIFUV+LEPPOD,35
SPHSUR+BOABIS+SCIPER+ELABIC,53,0.018867924528301886,SPHSUR+BOABIS+SCIPER,9
PITAZU,52,0.0,PITAZU+PHYSAU+LEPFUS,10
DENCRU+BOALUN+BOAALB,52,0.5769230769230769,PHYCUV+BOALUN+BOAALB,14
SPHSUR+BOAFAB+DENMIN,50,0.2,SPHSUR+BOABIS+LEPLAT+BOALEP+BOAFAB+DENMIN,18
PHYALB+LEPLAB+ADEDIP,46,0.0,PHYALB+LEPLAB+LEPPOD+ADEDIP,18
BOAFAB+BOAALM+PHYDIS,46,0.0,BOAFAB+LEPNOT+BOAALM+PHYDIS,36
DENMIN+PITAZU+DENNAN,46,0.021739130434782608,DENMIN+PITAZU+PHYSAU+DENNAN+LEPPOD,26
SPHSUR+BOAFAB+PHYCUV,44,0.25,SPHSUR+BOABIS+BOAFAB+PHYCUV+DENMIN+ELABIC,6
DENMIN+PHYALB+BOARAN+SCIFUV+ELAMAT+PHYNAT,44,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+SCIFUV+ELAMAT,26
PITAZU+PHYALB+LEPPOD,44,0.8636363636363636,PITAZU+LEPPOD,4
BOAALM+PHYDIS,44,0.0,LEPNOT+BOAALM+PHYDIS,37
SPHSUR+BOABIS+LEPLAT+DENMIN,43,0.5116279069767442,SPHSUR+BOABIS+LEPLAT,6
DENCRU,42,0.0,BOAALB,19
DENCRU+BOALUN,42,0.6666666666666666,DENCRU+BOALUN+BOAALB,11
SPHSUR+BOAFAB+PHYCUV+ELABIC,40,0.0,SPHSUR+BOABIS+BOALEP+BOAFAB+PHYCUV+DENMIN+ELABIC+BOAPRA,7
ADEDIP,38,0.0,ninguna,20
DENMIN+PITAZU+DENNAN+PHYALB+SCIFUV+LEPPOD,38,0.10526315789473684,DENMIN+PITAZU+DENNAN+PHYALB+SCIFUV+LEPPOD+ELAMAT,9
DENMIN+PITAZU+PHYSAU+PHYALB,38,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+BOARAN+SCIFUV+LEPPOD,15
SPHSUR+BOABIS+SCIPER+BOALEP+BOAFAB,36,0.0,SPHSUR+BOABIS+BOALEP,33
SPHSUR+BOAFAB+BOAPRA,34,0.029411764705882353,SPHSUR+BOABIS+BOAFAB+ELABIC+BOAPRA,10
SPHSUR+BOABIS+BOALEP+PHYCUV,34,0.0,SPHSUR+BOABIS+BOALEP+BOAFAB+ELABIC,13
DENMIN+PITAZU,34,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+LEPPOD,16
BOAALM,33,0.0,LEPNOT+BOAALM+PHYDIS,22
BOAFAB+PHYDIS,33,0.0,BOAFAB+BOAALM,15
SPHSUR+SCIPER+BOAFAB+ELABIC,33,0.0,SPHSUR+BOABIS+SCIPER+BOALEP+BOAFAB+DENMIN+ELABIC,5
BOABIS+LEPLAT,33,0.0,SPHSUR+BOABIS+LEPLAT,20
BOAFAB+SCIALT,32,0.09375,ninguna,8
PHYCUV+BOALUN+BOAALB,32,0.9375,BOALUN+BOAALB,1
BOABIS+SCIPER,31,0.0,SPHSUR+BOABIS+SCIPER+DENNAH+LEPLAT,20
DENNAN+PHYALB+SCIFUV+LEPPOD,31,0.0,DENMIN+PITAZU+DENNAN+PHYALB+SCIFUV+LEPPOD,14
SPHSUR+BOABIS+LEPLAT+BOALEP,30,0.36666666666666664,SPHSUR+BOABIS+LEPLAT,8
PITAZU+LEPFUS,30,0.0,PITAZU+PHYSAU+LEPFUS,22
BOABIS+SCIPER+LEPLAT,28,0.0,SPHSUR+BOABIS+SCIPER+DENNAH+LEPLAT,7
SPHSUR+BOABIS+BOAFAB,27,0.2962962962962963,SPHSUR+BOABIS+LEPLAT+BOAFAB,6
PITAZU+PHYSAU+SCIFUV,26,0.0,PITAZU+PHYSAU+LEPFUS+SCIFUV,6
DENELE,26,0.07692307692307693,ninguna,21
BOAFAB+BOAALM+SCIALT,26,0.3076923076923077,BOAALM,5
LEPLAB+BOARAN,26,0.0,LEPFUS+BOARAN+SCIFUV,12
BOABIS+LEPLAT+BOAFAB,26,0.038461538461538464,SPHSUR+BOABIS+LEPLAT+BOAFAB,17
DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+SCIFUV,25,0.0,DENMIN+PITAZU+PHYSAU+DENNAN+PHYALB+SCIFUV+LEPPOD,18
