label,supported,positive_count,prevalence,pcen_ap,logmel_ap,delta_ap,pcen_f1,logmel_f1,delta_f1,logmel_precision,logmel_recall
SPHSUR,True,2627,0.21066559743384122,0.9530461039836791,0.9384193375027354,-0.014626766480943632,0.9151589671526436,0.9157470660360834,0.0005880988834398027,0.8481505515898767,0.9950513894175866
BOABIS,True,2306,0.18492381716118686,0.9020731001283329,0.9236806581727137,0.02160755804438086,0.8317368516175673,0.8523676880222841,0.020630836404716857,0.7453718739850601,0.9952298352124892
SCIPER,True,674,0.05404971932638332,0.7384062593817171,0.7367599383795094,-0.0016463210022077401,0.5876875323331608,0.5938047925189948,0.006117260185833917,0.48987463837994216,0.7537091988130564
DENNAH,True,36,0.0028869286287089013,0.25899173015293503,0.21057064815120294,-0.04842108200173209,0.22727272727272727,0.22364217252396165,-0.003630554748765613,0.1263537906137184,0.9722222222222222
LEPLAT,True,1306,0.10473135525260625,0.905543393631982,0.9009944319828855,-0.004548961649096461,0.7959779435614661,0.7779621639561899,-0.018015779605276228,0.6865846514352666,0.8973966309341501
RHIICT,True,38,0.0030473135525260625,0.47551727747951017,0.0716540820611801,-0.40386319541833005,0.3963963963963964,0.12,-0.2763963963963964,0.25,0.07894736842105263
BOALEP,True,163,0.013071371291098637,0.612765662830434,0.8466234468746234,0.23385778404418944,0.2755388940955951,0.3820816864295125,0.10654279233391739,0.24328859060402686,0.8895705521472392
BOAFAB,True,1298,0.10408981555733761,0.9556039386599243,0.9312217414616923,-0.02438219719823198,0.8864579403998492,0.8833951380304903,-0.0030628023693588524,0.9495128432240921,0.8258859784283513
PHYCUV,True,764,0.06126704089815557,0.8014889034662491,0.6513218418792761,-0.15016706158697302,0.7076392877656519,0.5779153766769866,-0.12972391108866532,0.47700170357751276,0.7329842931937173
DENMIN,True,1428,0.11451483560545309,0.9520730782018422,0.9583458709889141,0.006272792787071935,0.8269581056466302,0.8332817816269719,0.00632367598034167,0.7462603878116344,0.9432773109243697
ELABIC,True,280,0.022453889334402566,0.278772848219076,0.4397695533067067,0.1609967050876307,0.30109670987038883,0.41379310344827586,0.11269639357788702,0.35658914728682173,0.4928571428571429
BOAPRA,True,84,0.00673616680032077,0.0902551594147388,0.48650335026601893,0.39624819085128016,0.1910828025477707,0.4329896907216495,0.2419068881738788,0.30434782608695654,0.75
DENCRU,True,159,0.012750601443464314,0.13902108406407868,0.12044269312819393,-0.018578390935884745,0.16905901116427433,0.1732124874118832,0.004153476247608867,0.10311750599520383,0.5408805031446541
BOALUN,True,482,0.038652766639935845,0.626575178790474,0.6257666891304642,-0.0008084896600097924,0.5703125,0.5015479876160991,-0.06876451238390091,0.3574580759046778,0.8402489626556017
BOAALB,True,697,0.05589414595028067,0.8844914732278625,0.8779799457478255,-0.006511527480037027,0.547070707070707,0.6281866281866282,0.08111592111592114,0.4725036179450072,0.9368723098995696
PHYMAR,True,80,0.006415396952686447,0.006415396952686447,0.0681692647517871,0.06175386779910065,0.0,0.037209302325581395,0.037209302325581395,0.02962962962962963,0.05
PITAZU,True,1148,0.09206094627105052,0.8666237057837166,0.8786679611115698,0.012044255327853137,0.64,0.702650290885585,0.06265029088558494,0.5585817060637205,0.9468641114982579
PHYSAU,True,347,0.027826784282277466,0.4017667895634937,0.3930534132004434,-0.008713376363050307,0.4004711425206125,0.4667124227865477,0.06624128026593518,0.3063063063063063,0.9798270893371758
LEPFUS,True,98,0.007858861267040898,0.4275114292471828,0.4367963565685775,0.009284927321394743,0.5142857142857142,0.35142118863049093,-0.1628645256552233,0.23529411764705882,0.6938775510204082
DENNAN,True,947,0.07594226142742583,0.8891903910861013,0.8493735280560543,-0.039816863030047056,0.7028265851795263,0.7060185185185185,0.003191933338992148,0.5562310030395137,0.9662090813093981
PHYALB,True,1240,0.09943865276663993,0.9252361235430553,0.9508896024885889,0.025653478945533603,0.7155067155067155,0.8264110756123536,0.11090436010563809,0.7381103360811667,0.9387096774193548
LEPLAB,True,116,0.009302325581395349,0.8335648966016115,0.8316347386102504,-0.0019301579913610922,0.71900826446281,0.8102564102564103,0.0912481457936003,1.0,0.6810344827586207
SCIFUS,False,0,0.0,,,,0.0,0.0,0.0,0.0,0.0
BOARAN,True,288,0.02309542902967121,0.5533270769956198,0.8349961720816426,0.2816690950860228,0.42479213907785335,0.6829971181556196,0.25820497907776624,0.583743842364532,0.8229166666666666
SCIFUV,True,617,0.049478748997594225,0.7059146415971863,0.8111465389779726,0.10523189738078631,0.6185125735687533,0.6604086140254003,0.041896040456646966,0.5008375209380235,0.9692058346839546
AMEPIC,True,32,0.002566158781074579,0.002566158781074579,0.3245070396210819,0.3219408808400073,0.0,0.0,0.0,0.0,0.0
LEPPOD,True,1328,0.10649558941459503,0.849863232519045,0.8833980632723831,0.033534830753338074,0.6735537190082644,0.7746566791510612,0.10110296014279674,0.6615138592750534,0.9344879518072289
ADEDIP,True,100,0.00801924619085806,0.13057788381897895,0.33666056436443936,0.20608268054546042,0.21645021645021645,0.48717948717948717,0.2707292707292707,0.4253731343283582,0.57
ELAMAT,True,140,0.011226944667201283,0.28869876644412046,0.4245098071817912,0.13581104073767075,0.2776735459662289,0.3352601156069364,0.05758656964070752,0.22955145118733508,0.6214285714285714
PHYNAT,True,213,0.017080994386527666,0.18062413503437214,0.25527946097524723,0.0746553259408751,0.304,0.07905138339920949,-0.22494861660079052,0.25,0.046948356807511735
LEPELE,True,30,0.0024057738572574178,0.0024057738572574178,0.0024057738572574178,0.0,0.0,0.0,0.0,0.0,0.0
RHISCI,False,0,0.0,,,,0.0,0.0,0.0,0.0,0.0
SCINAS,False,0,0.0,,,,0.0,0.0,0.0,0.0,0.0
LEPNOT,True,275,0.022052927024859663,0.6933928141230209,0.18227166691501528,-0.5111211472080056,0.6083213773314203,0.24847746650426308,-0.3598439108271573,0.18681318681318682,0.3709090909090909
ADEMAR,True,147,0.011788291900561347,0.4485604717592552,0.23284054721595332,-0.21571992454330186,0.49707602339181284,0.38162544169611307,-0.11545058169569977,0.39705882352941174,0.3673469387755102
BOAALM,True,259,0.020769847634322373,0.9250744247220897,0.9245225405983921,-0.0005518841236975547,0.7010014306151645,0.7405247813411079,0.039523350725943374,0.594847775175644,0.9806949806949807
PHYDIS,True,234,0.01876503608660786,0.47459862316396595,0.4866867453147625,0.012088122150796576,0.5329428989751098,0.5108225108225108,-0.02212038815259898,0.38562091503267976,0.7564102564102564
RHIORN,True,11,0.0008821170809943865,0.0008821170809943865,0.0008821170809943865,0.0,0.0,0.0,0.0,0.0,0.0
LEPFLA,True,3,0.00024057738572574178,0.00024057738572574178,0.00024057738572574178,0.0,0.0,0.0,0.0,0.0,0.0
SCIRIZ,True,20,0.0016038492381716118,0.0016038492381716118,0.3744723113800636,0.37286846214189195,0.0,0.3058823529411765,0.3058823529411765,0.2,0.65
DENELE,True,74,0.005934242181234964,0.005934242181234964,0.2894282331621543,0.2834939909809194,0.0,0.22413793103448276,0.22413793103448276,0.30952380952380953,0.17567567567567569
SCIALT,True,58,0.004651162790697674,0.5607814738995556,0.9840831240009136,0.423301650101358,0.4742268041237113,0.6511627906976745,0.17693598657396314,1.0,0.4827586206896552
